,fund,matched_firm,firm_confidence,cik_no_fund,form_d_fund_id,crd_no_firm,form_adv_firm_id
102,Asgi Corbin Multi Strategy Fund,Multi Strategy Management,0.8054346362800365,1508782,24776,290253,
103,Eco Stim Energy Solutions,Capital Solutions,0.9457189483479524,1135657,23277,283533,
104,Tmam Go Japan Engagement Fund Jef,S,1.0,1789427,60185,108401,
105,Hedgepremier Double Black Diamond Fund,Black Diamond Management,0.868533729869812,1483396,32367,163580,
106,Ninewells Capital Partners,Nilsine Partners,0.7957030057384252,1517621,33109,315694,
107,Safepath Medical,Safe Management,0.9940977403306213,1499931,32705,289102,
108,Man Numeric International Alpha Us,Latin America Alternatives Management Us,0.9577918370529834,1745764,42893,167340,
109,Nxt Id,Nxt Capital Investment Advisers,0.8724174530378983,1566826,24940,160569,
110,Abecedarian Holdings,Van Holdings,0.8253775428296056,1787980,60127,297334,
111,Italian Real Estate Special Situations Ii Scs Sicav Raif,Ms Real Estate Special Situations,0.7493630676872051,1750800,56094,108829,
112,Mesa West Core Lending Fund,Greystone Bridge Lending Fund Manager,0.9586798111581776,1566612,34346,284589,
113,Baxter Street Fund,Baxter Advisors,0.8974297556448847,1564209,34279,324250,
114,Dockyard Capital Offshore Fund,Dockyard Capital Management,0.8554766820554847,1746764,43004,295431,153332.0
115,Wtc Multi Strategy Fund Offshore,Multi Strategy Management,0.9312373931355321,1725907,40922,290253,
116,Rana Therapeutics,S,0.9999999999999999,1693415,38883,108401,
117,Trimetals Mining,Minis,0.9715892173542557,1393435,30735,105170,7232.0
118,Cnh Diversified Opportunities Master Account,Arrive Opportunities Management,0.9552093256818884,1541802,33664,300466,
119,Silverado Income Fund I,Wangard Income Fund Manager,0.9893055375417951,1658517,37386,168809,
120,Meixin Twelve Months, Twelve Capital,0.9180996957574078,1705616,39610,161162,
121,Yost Focused Long Fund,Focus Fund Advisors,0.9008957929303388,1663908,37558,319551,
122,Apollo Commercial Real Estate Finance,Sound Point Commercial Real Estate Finance,0.7686376968547419,1467760,32090,311808,
123,Confederate Motors,S,1.0,1346346,23908,108401,
124,Tsg Venture ,Tsg Asset Management,0.850807391932644,1725935,40924,116691,
125,Leveraged Global Opportunity Fund L P,Cobro Opportunity Fund Gp,0.8044087095904643,936442,59964,309434,
126,Kestrel Fund, Fund,0.8605606399596909,1315337,29828,281914,
127,Rosemawr Municipal Partners Fund,Mariner Municipal Managers,0.9123497898905658,1464451,32024,145953,
128,Vectormax,Vector,0.7708779264223403,1136418,28692,298681,
129,Alung Technologies,Income Technologies,0.6711353079827374,1179295,55266,284678,
130,Ursa Space Systems,Retirement Systems,0.9720722753863992,1658448,37383,310927,
131,Motivating The Masses,Motivesting,0.8492427417185285,1107796,23041,286023,
132,Boone Real Estate,M Real Estate,0.7848789149974493,1408343,30960,282250,
133,Frame Media,Medici,0.9216351985571936,1782185,53111,315941,
134,Warrington Strategic Fund,Carrington Strategic Advisors,0.6369204685109532,1628456,36271,132612,
135,Nighthawk India Equity Fund,Bright Star India Equity Investments,0.8909061377556917,1785563,57385,307456,
136,Pfm Oncology Opportunities Offshore Fund,Energy Opportunities Capital Management,0.9775699776829909,1613402,35846,148186,428.0
137,Sheraton Partners,Sheridan Capital Partners,0.8122862721522985,1319707,29875,299035,
138,Criteria Investment Partners,Caris Investment Partners,0.6632512779424097,1459500,31834,305511,
139,Connor Group Debt Fund Xii,S,1.0,1768268,45608,108401,
140,Pls,Pls Advisory,0.8419852804432614,1631875,36391,150666,
141,Kingsway Capital Icav Ash Park Global Consumer Franchise Fund,S,1.0,1664730,37579,108401,
142,Aileron Therapeutics,Aileron,0.940725409596173,1420565,31139,109174,
143,Lodging Fund Reit Iii,S,1.0000000000000002,1745032,42802,108401,
144,Brighthouse Life Insurance,Lighthouse Institute,0.8525818475735066,733076,7884,282604,
145,Man Funds Xi Spc On Behalf Of For The Account Of Man Ahl Targetrisk Sp,S,0.9999999999999999,1789622,60211,108401,
146,Pops! Diabetes Care,S,1.0,1664262,55839,108401,
147,Accelerated Acquisitions V,Regis Acquisition,0.7999686220040645,1444145,24534,323495,
148,Finex Asia Incline Fund,Incline Fund Management,0.8398696994182517,1768135,45527,151884,
149,Hcp Absolute Return Fund,Absolute Return Capital,0.7648485184378986,1300116,29683,145647,4089.0
150,Axosim,Axos Invest,0.6881560488749956,1769360,46189,150953,
151,Coachwork Investment Partners,Coachwork Partners,0.463913574438982,1695304,38960,285931,
152,Columbus Photovoltaics,Columbus Nova,0.9218378337209037,1538881,33598,158456,
153,Yorkmont Capital Partners,Yorkmont Capital Management,0.6259131372414547,1563674,34273,164599,
154,Tiaa Cref Real Property Fund,Tiaa Cref Investment Management,0.9588820559346909,1611291,60046,107168,2184.0
155,C Global Technologies,K Global Technology,0.6399026093106568,849145,21656,301937,
156,Spark Capital Vi,Spark Capital,0.5576694107143622,1767514,45227,161231,
157,Garganey,Garglet,0.9797749504621166,1577152,34707,321111,
158,Propetro Holding,Promus Holdings,0.9071723590886607,1680247,38404,162524,
159,All Pro Brylee Farms Lllp,S,1.0,1789607,60208,108401,
160,Interplay Ventures Fund Ii,Relay Ventures Fund Ii Capital,0.71092168031924,1788529,60140,161577,
161,Bank Of Idaho Holding,S,1.0,1093892,56171,108401,
162,Morphic Holding,Moncap Holdings,0.9129976101204993,1679363,38349,319357,
163,Leone Asset Management,Leonard Asset Management,0.5408369721327847,1391723,30713,144245,
164,Imperial Fund I,Imperial Fund Capital Partners,0.6346168761969306,1625041,36179,317525,
165,Cold Spring Partners Fund,Spring City Partners,0.8658494264480998,1645222,36929,297361,
166,Mesirow Garfield Ridge South Fund,S,1.0,1745501,42859,108401,
167,Nevada Sunrise Gold,Nevada Ria,0.9709530096296459,1415758,54827,226586,
168,Prep Pastry Waterfront,Waterfront Wealth,0.8521532763205549,1767222,45092,173220,103757.0
169,Amazing Energy Oil Gas,Dale Oil Gas Partners,0.9998360279979172,1375618,24084,162289,
170,Secturion Systems,Coyn Systems,0.9002090998318606,1685115,38580,297843,
171,Diamond A Investors L P,Diamond Financial Investment Group,0.963057810405979,899280,27183,311319,
172,Medite Cancer Diagnostics,S,1.0,75439,21040,108401,
173,Hedgepremier Paloma Partners,Hep Partners,0.8719267368751314,1714671,40234,161386,81570.0
174,Rubicon Organics,Rubicon Advisors,0.8726475123906708,1742195,42513,174447,
175,Aerospace Transportation Logistics Fund Ii,Transportation Resource Partners Iii,0.9929150900985896,1733328,41538,160766,
176,Tacit Capital Fund Series ,Veritas Capital Fund Management,0.8704705607230446,1789288,60166,157123,
177,Aba Dso,Aba Capital,0.9572409966808925,1786224,57024,301570,
178,Latin America Ventures,Id Ventures America,0.7860817972609164,1427714,24434,161594,
179,Periwinkle Ventures Fund Ii Cayman,Relay Ventures Fund Ii Capital,0.906431836000562,1741798,42475,161577,
180,First Eagle Global Value Fund,Eagle Global Advisors,0.8312520348416998,1484313,32386,107306,2227.0
181,Equity Long Short Managers,Maximus Long Short Equity Management,0.686391097736011,1367800,30393,305427,142703.0
182,Lighthouse Sri Global Long Short Fund,Lighthouse Capital,0.9710703725165195,1575909,34656,109633,
183,Pyrrho Global Event Driven Fund,S,0.9999999999999998,1552060,33967,108401,
184,Insignia Ventures Partners Fund Ii Feeder,Insignia Ventures Partners Pte,0.7767812457045007,1789319,60170,290615,
185,Sensatek Propulsion Technology,Ii Technology,0.9068987305630555,1789655,60217,282760,
186,Mam Corporate Loan Fund,Fundamental Corporate Credit Limited,0.9277975702852644,1706576,39679,281353,
187,Bom Dia Imports,S,1.0,1556303,34093,108401,
188,Sands Capital Emerging Markets Growth Feeder Fund Cayman,Archer Capital Growth Funds Pty,0.9835768181612707,1627015,36230,162932,
189,Tishman Speyer Equity Participation Partners,Tishman Speyer Properties,0.8448477079343848,1666449,37662,160079,
190,Blue Rock Plus Fund Partnership Segregated Portfolio D,Blue Chip Partners,0.9745857826692021,1750603,57353,160790,
191,Realpage,Valpar,0.9409378969939759,1286225,29539,146764,
192,Mateon Therapeutics,S,1.0,908259,27248,108401,
193,Hcm R E Partners,R Partners,0.908872921937329,1727136,41006,299385,
194,Bizzingo,Zizzi Investments,0.9463492337901173,1359504,23974,322664,
195,Nippon Value Investors Japanese Equity Trust,Nippon Value Investors,0.7680220270967419,1354372,30236,140500,
196,Golub Capital Pearls Direct Lending Program,North Direct Lending,0.9868371784477084,1518266,33131,323152,
197,Myskin,Myscout,0.9759093538992818,1436161,24480,293180,
198,Savicorp,S,0.9999999999999999,1096637,22854,108401,
199,Jcp Investment Partnership,Jcp Investment Management,0.7640683326095575,1461946,56599,150635,31968.0
200,Noro Moseley Partners Viii,Noro Moseley Partners,0.7268506227508128,1746893,43017,162877,
201,Beach Point Total Return Offshore Fund Ii,S,1.0,1377530,30528,108401,
202,Great American Group,American Asset Management Group,0.7038293789134284,1464790,474,105099,3312.0
203,Redwave Energy,Map Energy,0.8716796421772233,1544294,33719,301882,
204,Freeport Mcmoran,Freeport Financial Partners,0.9566471808062041,831259,26767,166682,
205,Millrock Resources,Stillrock Management,0.8943204940564004,1409680,54680,112180,
206,Specialty Surgery Center,Specialty Care,0.8550588407613813,1555029,34064,217519,
207,Crestview Partners Iv ,Crestview Partners,0.568400914948045,1741472,42437,157488,87615.0
208,Multi Advisor Funds Global Emerging Markets Fund Stewart Investors,Emet Fund Global Advisors,0.836121036721354,1423236,31189,315189,
209,Pacific Community Holdings V,Pacific Community Management,0.7233581897994645,1789280,60164,163248,
210,Aqr Enhanced Style Premia Fund,S,0.9999999999999999,1590479,35063,108401,
211,Cimarron Vista,Cimarron Capital Management,0.804039195546218,1384287,30624,283375,
212,New Providence Capital Lending,New Providence Asset Management,0.8095975466508175,1585455,34957,137727,
213,Kopernik Global Unconstrained Offshore Fund,Kopernik Global Investors,0.916759198162602,1586561,34986,168625,34854.0
214,Event Driven Managers Ii,Halcyon Event Driven Management,0.811853291440409,1291572,29592,106957,859.0
215,Intercapital Villa Rica Associates,Vilallonga Associates,0.9007115318760114,1789525,60199,317879,
216,Crown Growth Opportunities Global Iii Scs Raif,Scs Growth,0.926867288814655,1716383,55673,283783,
217,Altair Chp Fund Ii,Altor Fund Ii Gp Limited,0.9746404243284829,1661064,37459,161901,122523.0
218,Summit Rock Hedged Equity Portfolio,Summit Portfolio Management,0.8912959188596769,1416825,31093,111243,
219,Cornami,Corner,0.8791215108622353,1554869,59781,299973,
220,Marshall Wace Funds Mw Tops China Us Fund,Us Fund Manager,0.962760417661359,1696771,39010,292094,
221,Algodon Wines Luxury Development Group,Development Group,0.9175192900241252,1559998,34180,167581,
222,Westfield Select Growth Equity,Select Equity Group,0.7846372653619724,1596870,35244,168496,4685.0
223,Greenhouse Solutions,Green Financial Solutions,0.8121367061327424,1491525,24688,277054,
224,Cyber Apps World,S,1.0,1230524,23576,108401,
225,Imation,Immar,0.8884392978385577,1014111,27741,298108,
226,Eqt,Eqt Partners,0.7071257310214056,33213,25865,160179,
227,Libertus Capital I Scsp,Libertus Capital,0.7827002621681318,1746302,42966,312189,
228,Zeronines Technology,Investments Technology,0.6979928983407055,1163941,28825,110223,
229,Electric Vehicle Research,Electric Feel Ventures,0.9428405137453604,1584137,24994,316539,
230,Exten Technologies,Florian Technologies,0.7068179745918248,1581809,34870,308355,
231,Ceif Partners,Ceres Partners,0.8141064226432456,1548002,33852,290937,
232,Digitaltown,Digital Wealth,0.8736592575801676,1065598,22443,288949,
233,Cloudplus,Cloud Capital,0.9728877340390906,1656276,37303,317325,
234,Jericho Capital Special Opportunities,Jes Special Opportunities Venture Fund Gp,0.7722385209076781,1646789,36983,309665,
235,Aurelius Capital Partners Ii,Aurelius Capital Management,0.720489382074025,1620483,36068,157325,4256.0
236,Two Sigma Spectrum Cayman Fund,Two Sigma Advisers,0.8834527274927948,1334109,30031,152254,159.0
237,Kilowatt Labs,Mile Labs,0.9094346305675916,1670003,37841,169419,
238,Bridgewater All Weather China,Bridgewater Wealth Management,0.7554024618055611,1719799,60087,135580,
239,Axuall,Ax,0.9189929959858416,1789509,60196,310578,
240,Pebble Labs,Pebble Finance,0.798921970100152,1772371,60115,323301,
241,Pgim Retirement Real Estate Fund Ii,Pgim Real Estate Uk Limited,0.8646412450118057,1781209,52583,171548,
242,Magnetar Andromeda Select Fund,Andromeda Capital Management,0.9162340320041246,1541128,33642,161440,4413.0
243,Elad Investments Series ,Polaris Investments,0.9029321779530903,1778988,51403,298652,
244,Candid Care,Candide Group,0.9679346333604896,1715924,40306,286086,
245,Deerfield Topco,Deerfield,0.7736620435978309,1731994,41415,104964,
246,Ps Opportunities Offshore,Magic Opportunities Management,0.9043243137793303,1460726,31893,313983,
247,Mgg Sf Evergreen Fund Cayman,S,1.0,1671360,59217,108401,
248,Cais Worldquant Millennium Wmqs Geae,S,1.0000000000000002,1746628,42995,108401,
