,fund,matched_firm,firm_confidence,cik_no_fund,form_d_fund_id,crd_no_firm,form_adv_firm_id
1864,Purebase,Pureretire,0.9856319299004233,1575858,24974,137403,
1865,Trew Holdings,Management Holdings,0.7338540935387919,1764793,44356,154100,
1866,Strafford Capital,Strafford Capital Management,0.4124429106816723,1724891,40839,292697,
1867,Achaogen,Machaon Capital Management,0.9619607505154132,1301501,29700,298624,
1868,Dynatronics,Capital Dynamics,0.8160448339097303,720875,26404,126931,
1869,Acuta Capital Fund,Acuta Capital Partners,0.7754738278720081,1601391,35396,158869,4885.0
1870,Gsref,Gsr,0.534173757799895,1707269,39730,161463,
1871,Esg H,Esg Planning,0.7919815136207791,1718879,40478,309501,
1872,Lsc Faur Mc Dst,Dsc Advisors,0.9821909827922602,1760099,43834,158312,355.0
1873,Workhorse Group,Mountain Workhorse Capital,0.7921004441455713,1425287,24420,169812,
1874,Periwinkle Ventures Fund Ii,Periwinkle Trading,0.8744186134749841,1722125,40692,298876,106888.0
1875,Cannapharmarx,S,0.9999999999999999,1081938,22607,108401,
1876, Burnside,Burnside And,0.6287047268507022,1778986,51402,155293,
1877,Dc Investments Alpha Fund,Green Alpha Investments,0.820889331827008,1678469,38303,144413,119927.0
1878,Goldman Sachs Group,Goldman Sachs,0.46325526178555393,886982,259,361,7869.0
1879,Front Range Biosciences,Front Range Advisors,0.929624383189183,1689059,58959,166331,
1880,Yukon Investment Partners,Yukon Partners Management,0.5415902465951042,1789564,60202,159991,
1881,Usellcom,S,1.0,1271075,23607,108401,
1882,Lakewater Total Return Opportunity Fund,Pathway Capital Opportunity Fund Management,0.8731778061705413,1490162,32509,167650,
1883,Recros Medica,Medici,0.9400123833737184,1619033,36022,315941,
1884,Wishbone Pet Products,Wishbone Management,0.9096462103172773,1557668,24918,283479,75715.0
1885,Dms Global Tactical Asset Allocation Fund,Tactical Allocation Group,0.7852072422703152,1534559,33512,132451,3266.0
1886,Pcm Partners L P Ii,Pcm Partners Im,0.7890591728898082,1185182,29011,170219,
1887,Lime Energy,Map Energy,0.6716400384525119,1065860,22450,301882,
1888,Cirkul,Circular,0.9997302115938702,1678810,38317,316106,
1889,Proprietary Capital Macro Series Fund,Proprietary Capital,0.6995931393202359,1453715,31659,125139,14114.0
1890,Alston Value Fund,Value Fund Advisors,0.8566361021192649,1488689,32477,129654,
1891,Hedgepremier Starboard Value Opportunity Fund,Starboard Value,0.9090911899085777,1530557,33431,156943,3486.0
1892,Scott Investment Partners,Scott Investment Partners,0.0,1630123,36319,168664,101382.0
1893,Pa Hedged Equity Fund,Pr Equity Fund Management,0.8191304736658005,1322607,29916,317652,
1894,Private Equity Capital Partners ,Starr Private Equity Partners,0.5352572907849481,1745712,42889,297886,
1895,Transitional Funding Partners,Dc Funding Partners,0.8504244716927043,1602858,35449,127379,
1896,Cresent Distributions,Distribution Consultants,0.7725731976596167,1779132,51475,166765,
1897,Senaptec,Precept Management,0.9918205459969194,1618284,35995,114671,5122.0
1898,Apptigo International,Pitango International Mc ,0.9276450473654508,1562738,24932,313693,
1899,Special Situations Technology Fund Ii L P,Ii Technology,0.8015027896340827,1254963,29316,282760,
1900,Advocate Condell Ambulatory Surgery Center,Advisory Advocates,0.9601632059771342,1656272,37302,284100,
1901,Metabolon,Collaboration Capital,0.9914497458577952,1223710,56587,289777,
1902,St Joseph,Moss Joseph H,0.6614705717527413,1177135,23505,105503,
1903,Rcg Lpp  Invest,S,1.0,1767694,45311,108401,
1904,Security Devices International,Western International Securities,0.8119667770151626,1354866,30245,39262,
1905,Ziopharm Oncology,S,1.0,1107421,28465,108401,
1906,Delcath Systems,Systems Financial,0.9089519162843399,872912,21730,284744,
1907,Eastside Distilling,Eastside Management Company,0.9857606222839741,1534708,24869,281746,
1908,Sali Multi Series Fund Ii,Multi Fund Management,0.7828070794548545,1476511,55454,108022,
1909,Strategic Energy Income Fund V,Strategic Fund Investments,0.8505729119040298,1699602,39205,281888,
1910,Serone Key Opportunities Fund,Eschaton Opportunities Fund Management,0.8205812200774687,1633740,36444,285575,
1911,Translink Capital Partners Iv,Translink Capital,0.6832510846557542,1695191,38953,156262,
1912,Ibex Behavioral Finance Fund Offshore,Rexford Offshore,0.9962205656509311,1703014,60080,161994,13486.0
1913,Ocean Partners,Oceanic Partners,0.5568115848599987,1319621,29874,174179,
1914,Beck Mack Limited Partnership,Artisan Partners Limited Partnership,0.8670680221553811,1626318,59081,150114,83.0
1915,Jk Asian Invest,Jk Financial,0.8715263880539169,1460990,31916,114929,
1916,Atalo Capital Onshore Fund,Atalo Capital,0.8743930278582478,1780375,52131,315643,
1917,Vaporin,Variant,0.9111650654397091,1504937,24757,285235,
1918,Flowmetric Life Sciences,Valence Life Sciences,0.8847148282816119,1695069,38944,161640,
1919,Ryder Court Us Small Mid Cap Equity Fund Dst,S,1.0,1619082,36025,108401,
1920,Caremerge,Verger Capital Management,0.942288323273442,1629263,36297,170125,5132.0
1921,Medscience Ventures,Medscience Ventures,0.0,1679701,38368,284986,
1922,Equity Bancshares,Equity,0.8871794402463762,1227500,29206,307017,
1923,Lkcm Investment Partnership Ii,Ash Investment Partners,0.9425462600320834,1496191,32629,322109,
1924,Mrp Value Offshore Fund I,Mark Offshore Management,0.9565627360186951,1764541,44309,109455,
1925,Apjet Venture,Apjohn Ventures,0.8264719299202319,1451586,31627,316911,
1926,Downticket,Downtown Associates,0.8724926459186457,1722138,40693,136111,142285.0
1927,Parian Global Us Fund,Parian Global Management,0.8194549224296219,1753457,43377,297279,20874.0
1928,Imageware Systems,Retirement Systems,0.8957257825821605,941685,27551,310927,
1929,Flexdex,Flex Capital,0.9554460636788614,1626072,36203,290069,
1930,Rch Energy Alpha Fund,Energy Funders,0.8719679301800739,1396858,30781,171081,
1931,Coconnect,Connect Financial,0.8351634533890743,1088638,22719,321212,
1932,Modular Medical,Modular Capital,0.7867512984642793,1074871,22525,321218,
1933,Global Asset Backed Opportunities,Target Global Selected Opportunities,0.7967542321776624,1600087,54999,311110,
1934,Fir Tree Capital Opportunity Fund Ii,Peer Street Opportunity Fund Gp,0.7595545022735162,1431698,31320,282784,
1935,Townsend Diversified Real Estate Fund,London Diversified Fund Management,0.8607825472524198,841776,26800,138766,
1936,Aqr Offshore Multi Strategy Fund Xvii,S,1.0,1664688,37576,108401,
1937,Willing Partners Us Fund,Fundsmith Partners Us,0.8601366498415712,1746983,43023,277143,
1938,Maverick Seed Partners,Maverick Real Estate Partners,0.8541484520690406,1525209,33298,269825,
1939,Allied Physicians Of California A Profession Medical,Physicians And Professionals Wealth Advisors,0.9030013871421693,1725602,40898,166654,
1940,Ashmore Sicav In Respect Of Ashmore Sicav Emerging Markets Total Return Fund,S,1.0000000000000002,1593293,35140,108401,
1941,Mcginley Orthopaedic Innovations,S,0.9999999999999999,1560823,34206,108401,
1942,Shelterzoom,S,1.0,1735906,58666,108401,
1943,Pantheon Systems,Coyn Systems,0.8556595002781257,1509079,32877,297843,
1944,Sovarnum Capital Partners,Sovarnum Capital,0.5033518279759832,1546578,33808,161619,8348.0
1945,Chatbox,Saltbox Ii,0.8611392050228717,1618436,36000,281826,
1946,Vionx Energy,Map Energy,0.8858556082906941,1644396,36895,301882,
1947,Napier Park Europe Loan Management Designated Activity,S,1.0000000000000002,1661005,37455,108401,
1948,Deltec Emerging Market Debt Fund,S,1.0,1553312,56063,108401,
1949,Napier Park European Credit Us Feeder,Breeden European Ventures,0.9640190547867297,1569451,34426,148142,
1950,Optimizerx,Optimize Capital,0.6783842151850146,1448431,24553,152936,
1951,Dcco Tukwila Domestic Reit,S,0.9999999999999999,1766776,44893,108401,
1952,Blackstone Granite Fund,Blackstone Ireland Fund Management Limited,0.8352019876230916,1524976,33295,292144,
1953,Trinity Capital,Trinity Capital Management,0.5020773140691718,99771,26134,143097,
1954,Scuderi Holyoke Power,Holyoke Partners,0.9061061600032316,1718879,40478,137508,
1955,Cypress Development,Developments ,0.786601153743563,1394039,30746,132762,
1956,Spectrum Global Solutions,Spectrum Financial Solutions,0.6066245995274174,1413891,24317,289992,
1957,Reterro,S,1.0,1642529,36805,108401,
1958,Upstream Worldwide,P Worldwide,0.8179423259642595,1271075,23607,159664,
1959,Endurance Fund Qp,Endurance Financial,0.9036289057676009,1277892,29481,319112,
1960,Citadel Kensington Global Strategies Fund,Linden Global Strategies,0.8064518712682837,1199937,29064,159667,
1961,Partners Capital Greyhawk Fund,Greyhawk Advisors,0.7610435530336493,1493436,32575,284989,
1962,Kromatid,S,1.0,1585391,34955,108401,
1963,Hgk Trinity Street International Equity Fund,Equity International,0.8632456178868347,1580190,34800,156961,
1964,Mlm Us Focused Equity Fund,Palm Equity,0.9467860444321929,1461674,31955,162535,
1965,Commonfund Em Quantitative Focus Fund,Commonfund Capital,0.9010106354771157,1580894,34829,110657,
1966,Exception Capital Family Fund,Exceptional Capital,0.7275848705122332,1614203,57751,317856,
1967,Partners Group Direct Equity  Usd A,Select Equity Group,0.9065966897373602,1750921,56096,168496,4685.0
1968,Nashville Ozbe Ii,S,1.0,1788289,60136,108401,
1969,Israel Investment Fund,Israel Investment Fund Group,0.4415048039497004,1497127,32653,323002,
1970,Truli Media Group,True Financial Group,0.9874604599058178,1462223,24601,285850,
1971,Twin Tree Capital Partners,Twin Tree Management,0.7505584263596523,1509315,32883,149548,3573.0
1972,Asymmetria Investors Series Y,Asymmetria Capital Partners,0.8886533522366838,1789327,60172,173214,
1973,Aviator Capital Fund Iv Us Feeder,Aviator Fund Management,0.9526181435950414,1748483,43114,135997,9429.0
1974,Tada Cognitive Solutions,Adaptive Financial Solutions,0.8663186428136879,1690256,38747,293198,
1975,Cafex  A Series Of Jasons Syndicate,S,1.0,1734201,41647,108401,
1976,Ryder Court Emerging Markets Small Cap Fund Dst,S,0.9999999999999999,1663569,37538,108401,
1977,Jaws Ventures, Ventures,0.8516175240338061,1738953,42190,315660,
1978,Salveo Fund I,Calvo Funds,0.899797803065424,1694793,58055,140202,
1979,Dld Event Onshore Fund,S,0.9999999999999999,1578298,34730,108401,
1980,Agfunder Investment Fund I A Series Of Agfunder Master Fund,Agfunder Advisors,0.7179386904599946,1732050,41421,304047,
1981,Eagle Bulk Shipping,S,1.0,1322439,29914,108401,
1982,Zh Healthcare,Wealthcare,0.8560671768255591,1697670,56365,168696,
1983,Glenview Partners Asp Fund A Series Of Alternative Strategies Platform,Fursa Alternative Strategies,0.9046136001951803,1606464,35593,108277,13303.0
1984,Kineta,Kinetic Financial,0.8479950290378464,1479365,32296,283034,
1985,Hanover Portfolio Acquisitions,Innovest Portfolio Solutions,0.8372527524808292,1528172,24844,106110,
1986,Gresham Private Equity Strategies,Private Capital Strategies,0.7933765581973967,1524441,33275,163569,
1987,Terra Alpha Fund,Alpha Funders,0.6562511551021556,1637293,36591,279030,
1988,Lombard International Life Assurance Separate Account Gva ,Emerald Separate Account Management,0.9291117058326999,1709491,39905,150202,
1989,Miza Enterprises,P Enterprises,0.845114735508782,1697044,39020,135325,
1990,Whitebox Institutional Partners,Whitebox Advisors,0.8260430563450256,1549526,33898,121995,229.0
1991,Avalon Globocare,Avalon Global Asset Management,0.8057975425307415,1630212,25073,107785,4227.0
1992,Bioincept,Inceptiv,0.9042898896119085,1401750,30846,310133,
1993,Answersnow,Financial Answers,0.8754753410769384,1745339,42846,165147,
1994,Grcr Partners,Icr Partners,0.7467808453881638,1661600,37474,304689,
1995,Coli Vul  Series Account Of Great West Life Annuity Of New York,Jacob Asset Management Of New York,0.9671653501264185,1458462,31796,112006,4662.0
1996,Gopher Protocol,Protocol Capital,0.8850205466345528,1471781,24627,290561,
1997,Lemon Perfect,Future Perfect Planning,0.919028005793416,1733260,41526,173765,
1998,Youngevity International,Equity International,0.9017756075891162,1569329,24957,156961,
1999,Fiam Core Plus Fund,Jam Fund,0.9368908679079242,1412740,31026,311616,
2000,A Sgj  Fund A Series Of Ax Rivres Funds,Dba Fund Of Funds Advisor,0.99150195521414,1753968,43406,107140,
2001,Wizrocket,Provizr,0.8222258580562741,1613570,35849,284252,
2002,Cadenza Innovation,Capital Innovations,0.8607579832615561,1678930,38322,145329,4800.0
2003,Sanuwave Health,Bluwave Capital Partners,0.9920512975294075,1417663,24343,320753,
2004,Appcoin Innovations,Capital Innovations,0.880216059187724,1515139,33028,145329,4800.0
2005,Bernstein Advanced Value,Bernstein Financial Advisory,0.913467372321508,1043621,27979,304560,
2006,Harrison Street Core Property Fund A,Harrison Street Advisors,0.8576059505268268,1560727,55936,157983,
2007,Tucek Partners Ii,Alta Partners Ii,0.9374842050271672,1350609,30194,160348,
2008,Global Energy Power Infrastructure Fund Iii D,Energy Infrastructure Capital,0.7946090352211012,1746134,42936,173237,
2009,Aqr Us Large Cap Value Mt Fund,Aqr Capital Management,0.9933064905572789,1660752,37448,111883,84.0
2010,Mountain West Debt Fund,West Mountain,0.8703900874633321,1538536,33587,144674,
2011,Medbox,Cultivian Sandbox,0.9287528035253688,1547996,24894,292259,
2012,Ibex Behavioral Finance Fund,Ara Behavioral,0.9513975317277626,1694673,60077,133625,
2013,Cah Holdings,Management Holdings,0.6738408479405189,1099506,56584,154100,
2014,Arrowstreet International Equity Acwi Ex Us Fund A Sub Fund Of Arrowstreet Us Group Trust,Five Arrows Managers Usa,0.9885293873199311,1573981,34579,286195,
2015,Americann,Sage America,0.735183723999465,1508348,54688,109244,
2016,Car Charging Group,Charter Financial Group,0.86793778458205,1429764,24443,107731,11890.0
2017,Ksn Fund X,S,0.9999999999999999,1733583,41576,108401,
2018,Transcoastal,Transcapital,0.8781155685956225,1046057,22325,291111,
2019,Sun To Water Technologies,Blue Water Financial Technologies,0.7402090711752297,1691321,38793,299471,
2020,Eka Solutions,Capital Solutions,0.8616945495738728,1648590,37054,283533,
2021,Eso Solutions,Capital Solutions,0.7177984439007401,1415897,31074,283533,
2022,Gold Bullion International,Institutional Bullion Investment Advisors,0.875523773200237,1511026,32923,151986,
2023,Personal Genome Diagnostics,S,0.9999999999999999,1530958,33444,108401,
2024,Lifelogger Technologies,Florian Technologies,0.7255518746248788,1567771,24946,308355,
2025,Moms Online,Online Capital Management,0.9646225268970804,1619174,25059,295555,
2026,Blue Sphere,Sphere,0.7566599340309742,1419582,24359,174488,
2027,Spice Capital Partners,Sp Capital Partners,0.5666085729274424,1452756,31639,297220,
2028,Whistle Sports,Whistler Capital Partners,0.9476784557835762,1508456,32866,316528,
2029,Digital Angel,Digital Capital Management,0.8436195826888309,924642,21954,299312,
2030,York Capital Management L P,York Capital Management,0.5883069371123149,879074,26985,112586,
2031,Steinberg Partners Fund Cayman,Perella Weinberg Partners Capital Management,0.9021186286432454,1667572,37705,143598,3285.0
2032,P Diversified Managers Fund,Meridian Diversified Fund Management,0.6727959700706093,1135582,28684,132233,
2033,Dl Partners Opportunities Fund,Heartland Opportunity Partners,0.8117871963254087,1523902,33264,171084,
2034,Ar Legacy  Reit,Legacy Resources,0.8767153692646797,1782162,53093,123144,
2035,Clayton Capital Appreciation Fund,Moore Clayton Capital Advisors,0.9496329829318619,1488623,54539,135821,
2036,Integrated Biometrics,Integrated Capital,0.9046453817268181,1512513,32971,289366,
2037,Mojo Organics,S,0.9999999999999999,1414953,24321,108401,
2038,Biovie,Curie Bio,0.9706583313632954,1580149,24986,323682,
2039,Kane Street Fund,Kane Street Capital Management,0.7998981801742507,1466623,32070,163817,
2040,Sera Prognostics,General Cognitics,0.8977764850028879,1534969,33519,310468,142418.0
2041,Eventplicity,Investplex,0.9870630412856668,1617007,35962,283666,
2042,Alvento Long Short Equity Fund,Maximus Long Short Equity Management,0.865054301419088,1653429,60056,305427,142703.0
2043,Midstream Methanol,Coldstream Wealth Management,0.960062962941781,1649304,37076,108805,819.0
2044,Cortex Health,Corttex Capital,0.894664111203111,1746253,42958,167326,
2045,Brenner West Capital Qualified Partners,Brenner West Capital Partners,0.7392658050744133,1369604,30420,138541,208.0
2046,Cerberus  Rm Fund,Cerberus Capital Management,0.9494142140881086,1701931,39371,152175,94452.0
2047,Dw Woodbine Frances Kunkel #,S,0.9999999999999999,1768016,45470,108401,
2048,Trxade Group,Cade Group,0.8662096287973025,1382574,24122,114970,
2049,Aeolus Property Catastrophe Spire Pf Fund,S,0.9999999999999999,1608327,35660,108401,
2050,Peer Street Funding,Peak Street Fund Management,0.7865431634366065,1626475,36213,292024,
2051,Keywise Phoenix Development Fund,Sound Development,0.9420603888168266,1479536,32301,283211,
2052,Bitglass,Biglari Capital,0.9832970021387963,1570707,34465,115197,4450.0
2053,Agnico Eagle Mines,S,0.9999999999999999,2809,25722,108401,
2054,Hp Melbourne Liability,S,0.9999999999999999,1756827,43589,108401,
2055,Ejf Opzone Fund I,Ejf Capital,0.829151799649807,1751072,43251,138854,3449.0
2056,Lightning Gaming,Lightning Asset Management,0.8355655247772437,1392545,24182,300567,
2057,Ionic Capital,Ionic Capital Management,0.45845232609014536,1386294,30653,156400,3282.0
2058,Prisma Focus Fund,Focus Fund Advisors,0.8014580635193022,1507909,60021,319551,
2059,Sevenwoods Investment Fund I,Greenwoods Investment Management,0.7490304068571666,1766215,44663,282382,
2060,Multi Advisor Funds Us Equities Fund Vulcan Value Partners,Vulcan Value Partners,0.8822976190411852,1649950,37103,151190,6562.0
2061,First Avenue Funding,Financial Avenues,0.875184372259152,1705908,56974,153458,
2062,Covalon Technologies,Florian Technologies,0.5991516721754145,1789397,60182,308355,
2063,Asgi Mesirow Insight Fund,Insight,0.916947820308433,1439166,24501,311445,
2064,Aegea Absolute Return Fund Series I,Absolute Return Strategies,0.7759189609713673,1571649,34500,153202,
2065,Navesink River Partners L P,River Raisin Investment Partners,0.9092079998263795,1319733,29876,298014,
2066,Metacapital Mortgage Opportunities Fund,Mortgage Capital Opportunities,0.5367647312532369,1444653,31540,290422,
2067,Predictive Qv,Predictive Rift,0.9768895926207182,1766562,44777,288921,
2068,Parkahead,S,0.9999999999999999,1696144,38988,108401,
2069,Enerteck,Enertech Capital,0.7969978307745558,1128353,23229,161807,
2070,Systematic Alternatives Fund,Alternative Fund Advisors,0.8293087069981488,1630685,36354,313109,
2071,Indico Data Solutions,Capital Solutions,0.8787445200858609,1626044,36201,283533,
2072,Datum One Aiv,Data One Capital Management,0.9895988781708281,1769018,46012,316965,
2073,Endurance Capital Fund,Endurance Capital,0.5086700412075741,1526892,33348,112895,
2074,Ithan Creek Partners,Capital Creek Partners,0.7432913646376913,1437992,31430,301211,
2075,Karya Fund,Ka Fund Advisors,0.8503089980173179,1541556,33657,141037,89.0
2076,Reflect Scientific,Reflect Ventures,0.874624793932385,1103090,22976,317677,
2077,Lkc Technologies,Income Technologies,0.7895507001317217,1628534,36272,284678,
2078,Hedgepremier Balyasny Fund Ii,Balyasny Asset Management,0.9570576067591607,1665020,37592,138111,2377.0
2079,Willow ,Willow,0.45333977321272606,1782724,53418,150814,
2080,Cerberus  Rm Feeder Fund,S,0.9999999999999999,1701957,39374,108401,
2081,Aon Hewitt Group Trust,Hewitt Investment Group,0.9096074635809668,1496672,32642,110162,
2082,Clearsign Combustion,Clearsignal Advisors,0.9258275599598065,1434524,31365,314699,
2083,Zagg,Zapalit Management,0.99158257304848,1296205,29630,288645,
2084,Peachtree Ssc Mortgage Reit,Peachtree,0.9696680077005411,1787484,60122,163349,
2085,Great North Capital Fund, North Capital,0.7256864110184931,1725875,40920,107325,2396.0
2086,Fund Eq Rra A Series Of Equidate Investments,Private Equity Investments,0.9714703420097923,1676065,38172,123527,
2087,Global Green Solutions,Global Investment Solutions,0.6444525533703898,1277576,23624,133850,
2088,Tela Bio,S,0.9999999999999999,1561921,34237,108401,
2089,Walton Pointe Tax Credit,Cape Point Wealth Tax Management,0.8815739931841021,1588138,57099,305344,
2090,Colombia Energy Resources,Gerdes Energy Research,0.9137161390280765,1045390,22318,323631,
2091,Ultra Sun,Ultra Capital,0.7441150531455862,1360442,23978,281117,
2092,Peconic Triumph Fund,Triumph Investment Fund Management,0.8896355957050692,1053516,28065,138336,
2093,Brookdale International Partners,Brookdale Capital Management,0.7974596291761125,1458410,31792,172122,
2094,Cambridge Franchise Partners,Cambridge Investment Partners,0.7663439279575012,1737771,42067,143702,9862.0
2095,Aura Biosciences,Aura Finance,0.9463537669561645,1501796,32739,318940,
2096,Prosomnus Holdings,Promus Holdings,0.7205641944737894,1058956,28115,162524,
2097,Protege Biomedical,S,0.9999999999999999,1693399,38882,108401,
2098,Bergeys Realty,S,0.9999999999999999,1433864,31359,108401,
2099,L Big Blue Swim School No Three,S,1.0,1755407,43497,108401,
2100,Pathfinder Strategic Credit,Callodine Strategic Credit,0.8157538391478611,1611458,35774,309829,
2101,Uniformity Labs,Union Labs,0.7944751664044254,1666834,37682,312102,
2102,Argonaut Macro Partnership,Argonaut Management,0.9005273778507353,1317694,29846,137799,9002.0
2103,Autris,Authent Advisors,0.9198832620905116,1441362,24518,148520,
2104,Greywolf Capital Partners Ii,Greywolf Capital Management,0.657079067893652,1267114,29391,138715,2964.0
2105,Lustros,Lustrin Financial,0.8959856420079515,922011,21939,129991,
2106,Blue Clay Capital Smid Cap Lo,Blue Clay Capital,0.6943177291461508,1697607,39050,166382,5401.0
2107,Hillair Capital Investments,Hillair Capital Management,0.6564523725655772,1536125,33538,157022,
2108,Angiogenex,S,1.0,1085596,22687,108401,
2109,Lightscape Technologies,Borghese Technologies,0.7794166689762952,1108891,23052,314915,
2110,American Housing Income Trust,First American Trust,0.826253402155054,1433821,24465,108923,686.0
2111,Social Reality,Social Capital,0.8948636877849849,1538217,24876,304525,
2112,Hmi Capital Partners,Hmi Capital Management,0.7048533065224255,1458994,59064,160850,4281.0
2113,Breakwater Credit Opportunities Fund Ii Feeder,Bregal Sagemount Credit Opportunities Fund Ii Manco Limited,0.7659511597317538,1735639,41844,301348,
2114,Trans Lux,Lux Advisors,0.9292510739525259,99106,21078,289009,
2115,Icapital Private Credit Access Fund Ii A Us,Access Capital Private Assets Us,0.847811014056078,1746504,42985,305243,
2116,Granite Point Capital Offshore Fund,Contrarian Capital Offshore Management,0.8114591580104223,1460179,31873,113184,
2117,Linden Investors,Independent Investors,0.7242866322748599,1310972,57554,105677,2322.0
2118,Fortress United,Capital United,0.8254878963277373,1598233,35287,285616,
2119,Pc Cudahy,S,1.0,1789344,60176,108401,
2120,Arrayit,Array Ventures,0.9991429991460131,1084507,22665,179517,
2121,Grand Perfecta,Future Perfect Planning,0.8791659602236567,1550053,24898,173765,
2122,Wexenergy,Dinergy,0.951083786922686,1725112,40856,286403,
2123,Psf Cav Offshore,Mark Offshore Management,0.9341933746442442,1731500,41373,109455,
2124,Bogan Science Fund,S,0.9999999999999999,1446402,31565,108401,
2125,Vrstudios,Vrd,0.9265880366857935,1635591,56958,286676,
2126,Dealer Tire Holdings,Tilia Holdings,0.780133571885087,1629512,36304,292148,
2127,Lilm,Wilmar,0.8807467840272228,1357671,23965,323728,
2128,Adaptive Medias,Adaptive Advice,0.845387457970306,1428397,24436,310529,
2129,Gurnee ,Gurney Financial,0.8715540226485134,1784927,54808,175008,
2130,Qst Tactical Edge,Tactical Capital,0.9687861050282788,1747253,43037,316576,
2131,Numeric Emerging Markets Small Cap Core Offshore Fund,Mark Offshore Management,0.9566130477482645,1617524,35977,109455,
2132,Swissinso Holding,Ainn Holding,0.9377532850015237,1437395,24485,297419,
2133,Mcmf Brins I,S,1.0,1766771,44890,108401,
2134,Ascent Solar Technologies,Polaris Technologies,0.6226996969948128,1350102,30189,306805,
2135,Thinkiq,Think,0.79189270202252,1706600,93109,289452,
2136,Connecticut Surgical Center,Connecticut Wealth Management,0.9106971351568813,1746758,43003,154310,6665.0
2137,Wellington Compound Growth,Compounding,0.9611693789321146,1700365,39255,322638,
2138,Quissett Partners,Quest Partners,0.8400973980454773,1031960,27870,137349,
2139,Priority  Holdings,Clarity Holdings,0.7048777340425199,1710238,39959,144725,
2140,Mansfield Microhospital,Mansfield Investment Management,0.9886388015296724,1761311,43951,293421,
2141,Aperimus Partners,Aperimus Capital,0.6733407272506239,1456310,54681,159883,4636.0
2142,Staffing  Solutions,Solutions  Wealth,0.855712628670158,1499717,24725,143248,
2143,Nrea Estates Dst,S,1.0,1749806,43186,108401,
2144,Zoned Properties,Regent Properties,0.8559966173700447,1279620,23631,309360,
2145,Medmo,Redmont Capital,0.8471636500300306,1724863,58967,298636,
2146,Logo Holdings I,Management Holdings,0.8243710074283157,1560161,34187,154100,
2147,Cannacraft,Tradecraft Capital,0.8234931295621009,1763412,44177,293637,
2148,Kalobios Pharmaceuticals,Leerink Pharmaceutical Investments,0.9136136655869093,1293310,23678,172514,
2149,Jennison Global Healthcare Fund,Sphera Global Healthcare,0.8166748866286232,1464243,56600,172608,
2150,Icelandic Provisions,Provision Asset,0.9993604311016875,1661454,37471,282183,
2151,Northstar Mezzanine Partners Vii,Mezzanine Capital Partners,0.7172143380510477,1759372,43776,163313,
2152,Dcp Midstream,Dcp,0.8307554068682087,1338065,30072,292773,
2153,Cyrus Opportunities Fund Ii L P,Eschaton Opportunities Fund Management,0.9060620168726078,1340971,30099,285575,
2154,Zaza Energy,Zarvona Energy,0.7610109264628483,1528393,24845,288820,
2155,Sciencast Fund,Sciencast Management,0.7526218131366067,1639878,36714,271030,5759.0
2156,Fiam Focused Global Growth Fund,Global Focus Capital,0.9102891863219463,1232485,29234,174176,
2157,Parkview Capital Credit,Parkview Capital,0.5293670585811433,1626899,25067,174405,
2158,Caz Multi Strategy Fund,Multi Strategy Management,0.7217532164557395,1288599,29560,290253,
2159,Digital Base,Digital Wealth,0.8811145616803739,1733196,41515,288949,
2160,Fine Offshore Fund,Mark Offshore Management,0.7705943853306002,1313153,29809,109455,
2161,Empyrean Capital Fund,Empyre Capital Management,0.6300896282661066,1300825,29694,298546,
2162,Chemistree Technology,Ii Technology,0.7208566799811782,1469346,32135,282760,
2163,Paramount Realty Shopping Center Fund Iv,S,1.0,1768983,45992,108401,
2164,Hims Series I A Series Of Fideras Capital,Capital Securities Of America,0.9374772204249235,1766051,44622,36405,
2165,Silver Stream Mining,Silver Strand Financial Planning,0.8706466530398126,1310497,23754,313531,
2166,Hazelbrook Partners,Hazoor Partners,0.9232951249620059,1107862,28467,289744,
2167,Farmstead Offshore Fund,Mark Offshore Management,0.8914638196640878,1587737,60039,109455,
2168,Touchpoint Metrics,Touchpoint Investment Advisers,0.8470902936956646,1535079,24871,136946,
2169,Crestview Partners Iv Offshore,Crestview Partners,0.8005946622315847,1741468,42434,157488,87615.0
2170,Acadian Non Us All Cap Equity Fund Usd Hedged,S,0.9999999999999998,1642619,36808,108401,
2171,Aloha Income Fund,Alpha Funders,0.9756642693335996,1634709,36489,279030,
2172,Innovu,Innovus Capital,0.5752973621789621,1672040,37969,173488,
2173,Hedgepremier Ozcr Fund,S,0.9999999999999999,1637919,36621,108401,
2174,Oxford City Football Club,Oxford Capital Management,0.9405954343287175,1414295,24319,118359,
2175,B Riley Financial,B Riley Capital Management,0.7071315752525175,1464790,474,160510,7032.0
2176,Ps Institutional Offshore,Mfs Institutional Advisors,0.9184758411975421,1528179,33379,107144,13017.0
2177,Scs Special Situations Fund,Vep Special Situations Fund ,0.621349983862067,1503906,32779,281940,
2178,Id Global Solutions,Global Investment Solutions,0.7040786504399446,1534154,24866,133850,
2179,Mid America Angels Investments,American Assets Investment Management,0.8741595366385561,1383457,30612,131660,3310.0
2180,Aftx,Afton Advisors,0.9490055548760283,1670238,37849,300884,
2181,Orderly Health,Orderly Finance,0.7563741433375633,1669545,58048,306511,
2182,Ike Partners,Ike Capital,0.77458329639686,1550302,33920,132473,
2183,Foodmaven,Goodman Asset Management,0.9574333106879607,1663403,37526,128643,
2184,Hip Mobility,Maniv Mobility,0.8472957592213894,1774168,48864,287696,
