matched_firm_name,firm_name,cik_no,crd_no,related_partner,matched_owner_name,matched_firmowners_confidence,formd_funds
Nwq Investment Management Company,Nwq Investment Management Company,763848,121876.0,Jon Bosse,Bosse Jon Daniel,0.7766918713527751,Nwq Investment Management Co
Nwq Investment Management Company,Nwq Investment Management Company,763848,121876.0,Jon Bosse,Bosse Jon Daniel,0.7766918713527751,Nwq Investment Management Company
Nwq Investment Management Company,Nwq Investment Management Company,763848,121876.0,Jon Bosse,Bosse Jon Daniel,0.7766918713527751,Nwq Investment Management Company
Hillcrest Asset Management,Hillcrest Asset Management Llc,1415345,145078.0,Brian Bruce,Bruce Brian,0.7669884985329743,Hillcrest Asset Management
Hillcrest Asset Management,Hillcrest Asset Management Llc,1415345,145078.0,Bruce Bedrick,Bruce Brian,1.2831181774346547,Hillcrest Asset Management
Fe Global Clean Energy Corp,Gei Global Energy Corp,1492850,160845.0,Prashanth Prakash,Prakash Anand,1.3655471478095988,Suja Minerals Corp
Solutions  Wealth,Staffing  Solutions Inc,1499717,143248.0,Randy Foutch,Hatcher Randy Guy,1.8548103289772981,Staffing Solutions Inc
Solutions  Wealth,Staffing  Solutions Inc,1499717,143248.0,Randy Foutch,Hatcher Randy Guy,1.8548103289772981,Staffing Solutions Inc
Solutions  Wealth,Staffing  Solutions Inc,1499717,143248.0,Randy Foutch,Hatcher Randy Guy,1.8548103289772981,Staffing Solutions Inc
Solutions  Wealth,Staffing  Solutions Inc,1499717,143248.0,Randy Foutch,Hatcher Randy Guy,1.8548103289772981,Staffing Solutions Inc
Solutions  Wealth,Staffing  Solutions Inc,1499717,143248.0,Randy Foutch,Hatcher Randy Guy,1.8548103289772981,Staffing Solutions Inc
Summit Global Investments,Summit Global Investments,1697953,157091.0,David Harden,Harden David Lee,0.6612798577672591,Summit Global Investments
Summit Global Investments,Summit Global Investments,1697953,157091.0,Bryce Sutton,Sutton Bryce Jay,0.5238133187104287,Summit Global Investments
Summit Global Investments,Summit Global Investments,1697953,157091.0,Jogeir Romestrand,Miranda Roger Adrian,0.9573147833686936,Summit Global Investments
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laurie Hawkes,Hawkins Laura Jean,0.8759143180031667,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laurie Hawkes,Hawkins Laura Jean,0.8759143180031667,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laurie Hawkes,Hawkins Laura Jean,0.8759143180031667,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laurie Hawkes,Hawkins Laura Jean,0.8759143180031667,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laurie Hawkes,Hawkins Laura Jean,0.8759143180031667,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laurie Hawkes,Hawkins Laura Jean,0.8759143180031667,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laurie Hawkes,Hawkins Laura Jean,0.8759143180031667,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Clark Winslow,Winslow Clark Joseph,0.6704403420213229,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Clark Winslow,Winslow Clark Joseph,0.6704403420213229,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Clark Winslow,Winslow Clark Joseph,0.6704403420213229,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Clark Winslow,Winslow Clark Joseph,0.6704403420213229,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Clark Winslow,Winslow Clark Joseph,0.6704403420213229,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Clark Winslow,Winslow Clark Joseph,0.6704403420213229,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Clark Winslow,Winslow Clark Joseph,0.6704403420213229,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laura Hawkins,Hawkins Laura Jean,0.530696363656305,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laura Hawkins,Hawkins Laura Jean,0.530696363656305,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laura Hawkins,Hawkins Laura Jean,0.530696363656305,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laura Hawkins,Hawkins Laura Jean,0.530696363656305,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laura Hawkins,Hawkins Laura Jean,0.530696363656305,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laura Hawkins,Hawkins Laura Jean,0.530696363656305,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Laura Hawkins,Hawkins Laura Jean,0.530696363656305,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Derek Ciernia,Ciernia Derek Michael,0.6116034950354456,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Derek Ciernia,Ciernia Derek Michael,0.6116034950354456,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Derek Ciernia,Ciernia Derek Michael,0.6116034950354456,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Derek Ciernia,Ciernia Derek Michael,0.6116034950354456,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Derek Ciernia,Ciernia Derek Michael,0.6116034950354456,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Derek Ciernia,Ciernia Derek Michael,0.6116034950354456,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Derek Ciernia,Ciernia Derek Michael,0.6116034950354456,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wiencke,Wieneke Jeffrey Dean,0.7768445388188597,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wiencke,Wieneke Jeffrey Dean,0.7768445388188597,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wiencke,Wieneke Jeffrey Dean,0.7768445388188597,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wiencke,Wieneke Jeffrey Dean,0.7768445388188597,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wiencke,Wieneke Jeffrey Dean,0.7768445388188597,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wiencke,Wieneke Jeffrey Dean,0.7768445388188597,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wiencke,Wieneke Jeffrey Dean,0.7768445388188597,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wieneke,Wieneke Jeffrey Dean,0.5497541095080941,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wieneke,Wieneke Jeffrey Dean,0.5497541095080941,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wieneke,Wieneke Jeffrey Dean,0.5497541095080941,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wieneke,Wieneke Jeffrey Dean,0.5497541095080941,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wieneke,Wieneke Jeffrey Dean,0.5497541095080941,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wieneke,Wieneke Jeffrey Dean,0.5497541095080941,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Jeffrey Wieneke,Wieneke Jeffrey Dean,0.5497541095080941,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Justin Kelly,Kelly Justin Holly,0.6208301533014738,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Justin Kelly,Kelly Justin Holly,0.6208301533014738,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Justin Kelly,Kelly Justin Holly,0.6208301533014738,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Justin Kelly,Kelly Justin Holly,0.6208301533014738,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Justin Kelly,Kelly Justin Holly,0.6208301533014738,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Justin Kelly,Kelly Justin Holly,0.6208301533014738,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Justin Kelly,Kelly Justin Holly,0.6208301533014738,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Nuveen Wcm Holdings,Nuveen Wcm Holdings,0.0,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Nuveen Wcm Holdings,Nuveen Wcm Holdings,0.0,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Nuveen Wcm Holdings,Nuveen Wcm Holdings,0.0,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Nuveen Wcm Holdings,Nuveen Wcm Holdings,0.0,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Nuveen Wcm Holdings,Nuveen Wcm Holdings,0.0,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Nuveen Wcm Holdings,Nuveen Wcm Holdings,0.0,Winslow Capital Management
Winslow Capital Management,Winslow Capital Management,900973,106940.0,Nuveen Wcm Holdings,Nuveen Wcm Holdings,0.0,Winslow Capital Management
