cik_no,fund_name,matched_fund_name,matched_firm_name,related_partner,matched_owner_name,crd_no_fund,matched_fund_confidence,crd_no_firm,matched_firm_confidence,crd_no_owner,matched_firmowners_confidence
1398702,Victory Electronic Cigarettes Corp,Electric Legal,Victory Capital Management,Pat Lavecchia,Lavecchia Thomas,106189.0,0.976644074850988,292620.0,0.9891014577022074,106421.0,1.7654348754694449
1398702,Victory Electronic Cigarettes Corp,Electric Legal,Victory Capital Management,Darin Silvernagle,Silver Martin S,106189.0,0.976644074850988,292620.0,0.9891014577022074,106421.0,1.8485449049414384
1398702,Victory Electronic Cigarettes Corp,Electric Legal,Victory Capital Management,Darin Silvernagle,Silver Martin S,106189.0,0.976644074850988,292620.0,0.9891014577022074,106421.0,1.8485449049414384
1398702,Victory Electronic Cigarettes Corp,,Victory Capital Management,Pat Lavecchia,Lavecchia Thomas,106189.0,1.0,289388.0,0.9891014577022074,106421.0,1.7654348754694449
1398702,Victory Electronic Cigarettes Corp,,Victory Capital Management,Darin Silvernagle,Silver Martin S,106189.0,1.0,289388.0,0.9891014577022074,106421.0,1.8485449049414384
1398702,Victory Electronic Cigarettes Corp,,Victory Capital Management,Darin Silvernagle,Silver Martin S,106189.0,1.0,289388.0,0.9891014577022074,106421.0,1.8485449049414384
1398702,Teckmine Industries,Electric Legal,Industries,Pat Lavecchia,Lavecchia Thomas,323356.0,0.976644074850988,292620.0,0.8133509734528587,106421.0,1.7654348754694449
1398702,Teckmine Industries,Electric Legal,Industries,Darin Silvernagle,Silver Martin S,323356.0,0.976644074850988,292620.0,0.8133509734528587,106421.0,1.8485449049414384
1398702,Teckmine Industries,,Industries,Pat Lavecchia,Lavecchia Thomas,323356.0,1.0,289388.0,0.8133509734528587,106421.0,1.7654348754694449
1398702,Teckmine Industries,,Industries,Darin Silvernagle,Silver Martin S,323356.0,1.0,289388.0,0.8133509734528587,106421.0,1.8485449049414384
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
